question_id,question,type,option_a,option_b,option_c,option_d,option_e,correct_option,reverse_scored,weight,subscale,notes
291,"If all roses are flowers, and some flowers are red, then:",single,All roses are red,Some roses might be red,No roses are red,All red things are flowers,,B,false,1,,
292,"If ""Some cats are black"" and ""All black things absorb heat,"" then:",single,All cats absorb heat,Some cats absorb heat,No cats absorb heat,Only black cats exist,,B,false,1,,
293,Which sentence is grammatically correct?,single,Me and John went to the store,John and I went to the store,John and me went to the store,I and John went to the store,,B,false,1,,
294,"If no birds are mammals, and all eagles are birds, then:",single,Some eagles are mammals,No eagles are mammals,All eagles are mammals,Eagles might be mammals,,B,false,1,,
295,"Complete the sequence: ""If it rains, then the ground gets wet. It rained. Therefore:""",single,It might rain again,The ground is wet,The ground is dry,We can't determine anything,,D,false,1,,
296,"If ""All students study"" and ""Mary is a student,"" then:",single,Mary might study,Mary studies,Mary doesn't study,We need more information,,B,false,1,,
297,"Which sentence uses ""affect"" correctly?",single,The rain will effect our picnic plans,The rain will affect our picnic plans,The rain will have an affect on our plans,The affect of rain on our plans is significant,,B,false,1,,
298,"If ""No cats are dogs"" and ""Some pets are cats,"" then:",single,Some pets are dogs,Some pets are not dogs,All pets are cats,No pets are dogs,,B,false,1,,
299,most valid?,single,Eating breakfast causes better test scores,There may be a correlation between breakfast and test scores,Students who don't eat breakfast are less intelligent,All students should be required to eat breakfast,,B,false,1,,
300,reasoning?,single,The conclusion doesn't follow from the premises,The first statement is false,The second statement is false,Nothing is wrong with the reasoning,,B,false,1,,
301,"If Store A has lower prices than Store B, and Store B has lower prices than Store C, then:",single,Store A definitely has the lowest prices overall,Store C has the highest prices of the three,Store B has average prices,We need more information to compare all stores,,B,false,1,,
302,"Therefore, if you want to be successful, you should wake up early.""",single,The argument is logically sound,The argument assumes correlation implies causation,The argument is based on false premises,The argument is supported by sufficient evidence,,C,false,1,,
303,likely affect the validity of this conclusion?,single,The survey method used,The sample size and selection,The time of year the survey was conducted,All of the above,,D,false,1,,
304,reasoning is:,single,Valid and sound,Valid but not sound,Invalid,Cannot be determined,,B,false,1,,
305,Which source would be most reliable for information about climate change?,single,A blog post by someone who experienced unusual weather,A peer-reviewed scientific journal article,A social media post with lots of shares,A news article quoting various opinions,,B,false,1,,
306,"games."" What's the main flaw in this reasoning?",single,It's based on insufficient data,It confuses correlation with causation,It uses emotional rather than logical appeals,It makes an unfair generalization,,D,false,1,,
307,what can we conclude?,single,The medication doesn't work,The patient is in the 15% for whom it's not effective,The patient didn't take it correctly,More information is needed to draw any conclusion,,B,false,1,,
308,Which question would best help evaluate the credibility of a news article?,single,Is the headline attention-grabbing?,Are multiple credible sources cited?,Does it confirm what I already believe?,Is it shared by many people on social media?,,B,false,1,,
309,3L  5L remains,single,"Fill 3L twice into 7L jug 6L, add 1L more","Fill 7L, pour out 2L somehow",It's impossible with these jugs,,,B,false,1,,
310,to break even?,single,125 tickets,142 tickets,150 tickets,175 tickets,,C,false,1,,
311,it show when the actual time is 600 PM?,single,610 PM,612 PM,614 PM,616 PM,,C,false,1,,
312,many total games will be played?,single,120 games,240 games,16 games,32 games,,B,false,1,,
313,"and pays $4.50 in fines, how many books were overdue?",single,1 book,2 books,1.5 books,Cannot be determined,,B,false,1,,
314,each other. How many different arrangements are possible?,single,240,720,120,48,,B,false,1,,
315,much flour do you need?,single,6 cups,7 cups,8 cups,5 cups,,C,false,1,,
316,there be when you unfold it?,single,4 holes,8 holes,16 holes,1 hole,,B,false,1,,
317,meet?,single,500 PM,530 PM,600 PM,630 PM,,B,false,1,,
